Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C5, C6",0603,4,1uF,
C2,1206,1,22uF,
"C3, C7",0603,2,0.1uF,
D1,0603,1,LED_Small,
IC2,AS312-NEW,1,AS312,
J1,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,S2B-PH-SM4-TB_LF__SN_,S2B-PH-SM4-TB(LF)(SN)
L1,Ai-Thinker-Ra-01-LoRa,1,Ra-01SH,
Q1,SOT-23,1,AO3401A,
"Q2, Q3",SOT-23,2,MMBT3904,
"R10, R4",0603,2,10k,
"R2, R5",0603,2,2.2k,
R3,0603,1,100K,
R6,0603,1,200K,
RN1,RESCAXE80P320X160X70-8N,1,100K,
RN7,RESCAXE80P320X160X70-8N,1,10K,
"TP1, TP2, TP3",TestPoint_THTPad_D1.5mm_Drill0.7mm,3,TestPoint,
U1,SOT-23-5,1,SPX3819M5-L-3-3,
U14,SOT-353_SC-70-5,1,74AHC1G32,
U3,SOT-23,1,HT7530S,
U4,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,1,ATtiny1616-M,
"U5, U6",SOT-353_SC-70-5,2,74AHC1G86,
